id;nome;categoria;preco_original;preco_venda;imagem_url;imagem_local;variacoes;url_produto
INLINEGLUMI;Patins Glumi 4 rodas Inline Triline Tamanho Ajustável com Kit de Proteção;Patins;269.9;199.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/291568208/design-sem-nome--29--2uvvgsvmsx.png;imagens_produtos\INLINEGLUMI.jpg;['PT102P', 'PT102M', 'PT100P', 'PT100M', 'PT101P', 'PT101M'];https://www.glumi.com.br/patins-4-rodas-inline-e-triline-tamanho-ajustavel-marca-glumi
PT100P_UN;Patins Inline Triline Tamanho Ajustável Glumi Cor: Sereia Tamanho: 28-31;Patins;269.9;199.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/298759731/design-sem-nome--28--ay834l283i.png;imagens_produtos\PT100P_UN.jpg;[];https://www.glumi.com.br/patins-inline-triline-tamanho-ajustavel-glumi-cor-sereia-tamanho-28-31
PT100M_UN;Patins Inline Triline Tamanho Ajustável Glumi Cor: Sereia Tamanho: 32-35;Patins;269.9;199.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/298768354/design-sem-nome--23--jbbha6rhmj.png;imagens_produtos\PT100M_UN.jpg;[];https://www.glumi.com.br/patins-inline-triline-tamanho-ajustavel-glumi-cor-sereia-tamanho-32-35
PT101P_UN;Patins Inline Triline Tamanho Ajustável Glumi Cor: Unicórnio Tamanho: 28-31;Patins;269.9;199.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/298774851/design-sem-nome--26--whthbm102c.png;imagens_produtos\PT101P_UN.jpg;[];https://www.glumi.com.br/patins-inline-triline-tamanho-ajustavel-glumi-cor-unicornio-tamanho-28-31
PT101M_UN;Patins Inline Triline Tamanho Ajustável Glumi Cor: Unicórnio Tamanho: 32-35;Patins;269.9;199.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/298777749/pt101_8-c39k093jkp.jpg;imagens_produtos\PT101M_UN.jpg;[];https://www.glumi.com.br/patins-inline-triline-tamanho-ajustavel-glumi-cor-unicornio-tamanho-32-35
1574;Patinete Infantil com Led Menino Azul 3 Rodas até 30kg;Menino;199.9;159.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/174360006bb44c3809b.jpg;imagens_produtos\1574.jpg;[];https://www.glumi.com.br/produto/patinete-infantil-com-led-menino-azul-3-rodas-ate-30kg.html
1705POLROSA;Cadeirinha Infantil Rosa Poltrona Kids Confortável Injeplastec;Outros Brinquedos;29.9;29.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/356829497/3578a2cf73c1aaa70b5acd121b9f136a-ml7247a74d.jpg;imagens_produtos\1705POLROSA.jpg;[];https://www.glumi.com.br/cadeirinha-infantil-rosa-poltrona-kids-confortavel-injeplastec
BIKERETROFEM;Bicicleta Infantil Modelo Retro Aro 16 Com Rodinhas e Cestinha;Bicicleta;1199.9;1099.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/356883168/46d25654680d8d089fe5a1f966dfbca7-d7v8o41j0c.jpg;imagens_produtos\BIKERETROFEM.jpg;['3281', '3282'];https://www.glumi.com.br/bicicleta-infantil-retro-aro-16
1220;Bicicleta Infantil Aro 16 Moto Bike Cross Com Rodinha Prática;Menino;1099.9;839.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/183450493463ff79398.jpg;imagens_produtos\1220.jpg;[];https://www.glumi.com.br/produto/bicicleta-infantil-aro-16-moto-bike-c-rodinha-menino.html
1804;Patins Infantil Rosa Smoke Feminino Tam 32 ao 35 Led Fumaça;Patins;210.9;169.9;https://cdn.awsli.com.br/800x800/1896/1896146/produto/210564446/20241111172132030929988e742da48e3701bccd0c2089613fawsaccesskeyidakiatclmsgfx4j7t-wn8p3k8j4q.png;imagens_produtos\1804.jpg;[];https://www.glumi.com.br/produto/patins-infantil-rosa-smoke-feminino-tam-34-ao-37-led-fumaca.html
